areaCode,areaName,areaType,date,hospitalCases
E40000003,London,nhsRegion,2020-07-24,147
E40000003,London,nhsRegion,2020-07-23,165
E40000003,London,nhsRegion,2020-07-22,173
E40000003,London,nhsRegion,2020-07-21,175
E40000003,London,nhsRegion,2020-07-20,180
E40000003,London,nhsRegion,2020-07-19,179
E40000003,London,nhsRegion,2020-07-18,179
E40000003,London,nhsRegion,2020-07-17,187
E40000003,London,nhsRegion,2020-07-16,191
E40000003,London,nhsRegion,2020-07-15,212
E40000003,London,nhsRegion,2020-07-14,229
E40000003,London,nhsRegion,2020-07-13,247
E40000003,London,nhsRegion,2020-07-12,247
E40000003,London,nhsRegion,2020-07-11,206
E40000003,London,nhsRegion,2020-07-10,255
E40000003,London,nhsRegion,2020-07-09,265
E40000003,London,nhsRegion,2020-07-08,269
E40000003,London,nhsRegion,2020-07-07,284
E40000003,London,nhsRegion,2020-07-06,291
E40000003,London,nhsRegion,2020-07-05,288
E40000003,London,nhsRegion,2020-07-04,293
E40000003,London,nhsRegion,2020-07-03,316
E40000003,London,nhsRegion,2020-07-02,320
E40000003,London,nhsRegion,2020-07-01,334
E40000003,London,nhsRegion,2020-06-30,386
E40000003,London,nhsRegion,2020-06-29,398
E40000003,London,nhsRegion,2020-06-28,392
E40000003,London,nhsRegion,2020-06-27,408
E40000003,London,nhsRegion,2020-06-26,423
E40000003,London,nhsRegion,2020-06-25,439
E40000003,London,nhsRegion,2020-06-24,477
E40000003,London,nhsRegion,2020-06-23,452
E40000003,London,nhsRegion,2020-06-22,453
E40000003,London,nhsRegion,2020-06-21,446
E40000003,London,nhsRegion,2020-06-20,466
E40000003,London,nhsRegion,2020-06-19,466
E40000003,London,nhsRegion,2020-06-18,494
E40000003,London,nhsRegion,2020-06-17,508
E40000003,London,nhsRegion,2020-06-16,539
E40000003,London,nhsRegion,2020-06-15,503
E40000003,London,nhsRegion,2020-06-14,531
E40000003,London,nhsRegion,2020-06-13,540
E40000003,London,nhsRegion,2020-06-12,568
E40000003,London,nhsRegion,2020-06-11,620
E40000003,London,nhsRegion,2020-06-10,675
E40000003,London,nhsRegion,2020-06-09,707
E40000003,London,nhsRegion,2020-06-08,701
E40000003,London,nhsRegion,2020-06-07,691
E40000003,London,nhsRegion,2020-06-06,707
E40000003,London,nhsRegion,2020-06-05,783
E40000003,London,nhsRegion,2020-06-04,795
E40000003,London,nhsRegion,2020-06-03,813
E40000003,London,nhsRegion,2020-06-02,855
E40000003,London,nhsRegion,2020-06-01,862
E40000003,London,nhsRegion,2020-05-31,891
E40000003,London,nhsRegion,2020-05-30,915
E40000003,London,nhsRegion,2020-05-29,1002
E40000003,London,nhsRegion,2020-05-28,1029
E40000003,London,nhsRegion,2020-05-27,1091
E40000003,London,nhsRegion,2020-05-26,1144
E40000003,London,nhsRegion,2020-05-25,1174
E40000003,London,nhsRegion,2020-05-24,1160
E40000003,London,nhsRegion,2020-05-23,1165
E40000003,London,nhsRegion,2020-05-22,1240
E40000003,London,nhsRegion,2020-05-21,1224
E40000003,London,nhsRegion,2020-05-20,1247
E40000003,London,nhsRegion,2020-05-19,1390
E40000003,London,nhsRegion,2020-05-18,1496
E40000003,London,nhsRegion,2020-05-17,1454
E40000003,London,nhsRegion,2020-05-16,1552
E40000003,London,nhsRegion,2020-05-15,1625
E40000003,London,nhsRegion,2020-05-14,1667
E40000003,London,nhsRegion,2020-05-13,1777
E40000003,London,nhsRegion,2020-05-12,1827
E40000003,London,nhsRegion,2020-05-11,1880
E40000003,London,nhsRegion,2020-05-10,1889
E40000003,London,nhsRegion,2020-05-09,1971
E40000003,London,nhsRegion,2020-05-08,1955
E40000003,London,nhsRegion,2020-05-07,2086
E40000003,London,nhsRegion,2020-05-06,2154
E40000003,London,nhsRegion,2020-05-05,2270
E40000003,London,nhsRegion,2020-05-04,2328
E40000003,London,nhsRegion,2020-05-03,2390
E40000003,London,nhsRegion,2020-05-02,2432
E40000003,London,nhsRegion,2020-05-01,2596
E40000003,London,nhsRegion,2020-04-30,2703
E40000003,London,nhsRegion,2020-04-29,2811
E40000003,London,nhsRegion,2020-04-28,2794
E40000003,London,nhsRegion,2020-04-27,3117
E40000003,London,nhsRegion,2020-04-26,3115
E40000003,London,nhsRegion,2020-04-25,3198
E40000003,London,nhsRegion,2020-04-24,3281
E40000003,London,nhsRegion,2020-04-23,3510
E40000003,London,nhsRegion,2020-04-22,3768
E40000003,London,nhsRegion,2020-04-21,3922
E40000003,London,nhsRegion,2020-04-20,3940
E40000003,London,nhsRegion,2020-04-19,4021
E40000003,London,nhsRegion,2020-04-18,3993
E40000003,London,nhsRegion,2020-04-17,4219
E40000003,London,nhsRegion,2020-04-16,4395
E40000003,London,nhsRegion,2020-04-15,4509
E40000003,London,nhsRegion,2020-04-14,4621
E40000003,London,nhsRegion,2020-04-13,4799
E40000003,London,nhsRegion,2020-04-12,4931
E40000003,London,nhsRegion,2020-04-11,4910
E40000003,London,nhsRegion,2020-04-10,5168
E40000003,London,nhsRegion,2020-04-09,5201
E40000003,London,nhsRegion,2020-04-08,5198
E40000003,London,nhsRegion,2020-04-07,5025
E40000003,London,nhsRegion,2020-04-06,5058
E40000003,London,nhsRegion,2020-04-05,4869
E40000003,London,nhsRegion,2020-04-04,4691
E40000003,London,nhsRegion,2020-04-03,4092
E40000003,London,nhsRegion,2020-04-02,4168
E40000003,London,nhsRegion,2020-04-01,4219
E40000003,London,nhsRegion,2020-03-31,4073
E40000003,London,nhsRegion,2020-03-30,3638
E40000003,London,nhsRegion,2020-03-29,3464
